segment_from,segment_to
D00-001,D00-002
D00-001,D10-001
D00-002,D00-003
D00-002,D11-001
D00-003,D00-004
D00-003,D11-001
D00-003,I12-001
D00-004,D00-005
D00-004,D01-005
D00-004,D01-004
D00-005,D00-006
D00-006,D00-007
D00-006,I04-001
D00-007,D00-008
D00-007,I04-001
D00-008,D00-009
D00-009,D00-010
D00-010,D00-011
D00-011,D00-012
D00-012,D00-013
D00-012,D05-001
D00-013,D00-014
D00-013,D05-001
D00-014,D00-015
D00-014,D06-001
D00-015,D06-001
D00-015,D07-001
D01-001,D01-002
D01-002,D01-003
D01-003,D01-004
D01-004,D01-005
D01-005,D01-006
D01-006,D01-007
D01-007,D01-008
D01-007,I03-001
D01-008,D01-009
D01-008,I03-001
D01-009,D01-010
D01-010,D01-011
D01-011,D01-012
D01-012,D01-013
D01-013,D01-014
D01-014,D01-015
D01-015,D01-016
D01-016,D01-017
D01-017,D01-018
D01-018,D01-019
D01-018,I34-077
D01-018,I34-078
D01-019,D01-020
D01-020,D01-021
D01-020,I38-093
D01-020,I38-092
D01-021,D01-022
D01-022,D01-023
D01-023,D01-024
D01-024,D01-025
D01-025,D01-026
D01-026,D01-027
D01-027,D01-028
D01-028,D01-029
D01-029,D01-030
D01-030,D01-031
D01-031,D01-032
D01-031,I52-001
D01-032,D01-033
D01-032,D02-001
D01-032,I52-001
D01-033,D01-034
D01-033,D02-001
D01-034,D01-035
D01-035,D01-036
D01-036,D01-037
D01-037,D01-038
D01-037,I50-001
D01-038,D01-039
D01-038,I50-001
D01-039,D01-040
D01-040,D01-041
D01-040,D46-001
D01-041,D01-042
D01-041,D46-001
D01-042,D01-043
D01-043,D01-044
D01-044,D01-045
D01-045,D01-046
D01-046,D01-047
D01-047,D01-048
D01-048,D01-049
D01-049,D01-050
D01-050,D01-051
D01-050,D35-013
D01-051,D01-052
D01-051,D35-013
D01-052,D01-053
D01-052,D48-001
D01-053,D01-054
D01-053,D48-001
D01-054,D01-055
D01-055,D01-056
D01-056,D01-057
D01-057,D01-058
D01-058,D01-059
D01-058,I11-020
D01-059,D01-060
D01-059,I11-020
D01-060,D01-061
D01-061,D01-062
D01-062,D01-063
D01-063,D01-064
D01-064,D01-065
D01-065,D01-066
D02-001,D02-002
D02-002,D02-003
D02-003,D02-004
D02-004,D02-005
D02-005,D02-006
D02-006,D02-007
D02-007,D02-008
D03-001,D03-002
D03-001,I03-027
D03-002,D03-003
D03-002,I19-011
D03-003,D03-004
D03-003,I19-011
D03-004,D03-005
D03-005,D03-006
D03-006,D03-007
D03-007,D03-008
D03-008,D03-009
D03-009,D03-010
D03-010,D03-011
D03-011,D03-012
D03-012,D03-013
D03-013,I34-001
D03-013,I34-002
D04-001,D04-002
D04-002,D04-003
D04-003,D04-004
D04-004,D04-005
D04-005,D04-006
D04-006,D04-007
D04-007,D04-008
D04-008,D04-009
D04-009,D04-010
D04-010,D04-011
D04-011,I20-052
D04-011,I20-053
D05-001,D05-002
D05-002,D05-003
D05-003,D05-004
D05-004,D05-005
D05-005,D05-006
D05-006,D05-007
D05-007,D05-008
D05-008,D05-009
D05-009,D05-010
D05-010,D05-011
D05-011,D05-012
D05-012,D05-013
D05-013,D05-014
D05-014,D05-015
D05-014,I20-005
D05-015,D05-016
D05-016,D05-017
D05-016,I26-005
D05-017,D05-018
D05-017,I26-005
D05-018,D05-019
D05-019,D05-020
D05-020,D05-021
D05-021,D05-022
D05-022,D05-023
D05-023,D05-024
D06-001,D06-002
D06-002,D06-003
D06-003,D06-004
D06-004,D06-005
D06-005,D06-006
D06-006,D06-018
D06-007,D06-021
D06-007,I06-001
D06-008,D06-009
D06-008,I06-025
D06-009,D06-010
D06-010,D06-011
D06-011,D06-012
D06-012,D06-013
D06-013,D06-014
D06-014,D06-015
D06-015,D06-016
D06-016,D06-017
D06-018,D06-019
D06-019,D06-020
D06-020,D06-021
D07-001,D07-002
D07-002,D07-003
D07-003,D07-004
D07-004,D07-005
D07-005,I07-001
D07-006,D07-007
D07-006,I07-002
D07-007,D07-008
D07-008,D07-009
D07-009,D07-010
D07-010,D07-011
D07-010,I07-003
D07-011,D07-012
D08-001,D08-002
D08-002,D08-003
D08-003,D08-004
D08-004,D08-005
D08-005,D08-006
D08-006,D08-007
D08-007,D08-008
D08-008,D08-009
D08-009,D08-010
D08-010,D08-011
D08-011,D08-012
D08-012,D08-013
D08-013,D08-014
D08-014,D08-015
D10-001,D10-002
D10-002,D10-003
D10-003,D10-004
D10-004,D10-005
D10-005,D10-006
D10-006,D10-007
D10-007,D10-008
D10-008,D10-009
D10-009,D10-010
D10-010,D10-011
D10-011,D10-012
D10-012,D10-013
D10-013,D10-014
D10-014,D10-015
D10-015,D10-016
D11-001,D11-002
D11-002,D11-003
D11-003,D11-004
D11-004,D11-005
D11-005,D11-006
D11-005,I38-025
D11-006,D11-007
D11-006,I38-025
D11-007,D11-008
D11-008,D11-009
D11-009,D11-010
D11-010,D11-011
D11-011,D11-012
D11-011,D35-001
D11-012,D11-013
D11-012,D35-001
D11-012,I11-001
D11-013,D11-014
D11-013,I11-001
D11-013,I35-071
D11-013,I35-070
D11-014,D11-015
D11-015,D11-016
D35-002,D35-003
D35-002,I35-124
D35-003,D35-004
D35-004,D35-005
D35-005,D35-006
D35-006,D35-007
D35-007,D35-008
D35-007,I35-126
D35-007,D46-011
D35-007,I46-001
D35-008,D35-009
D35-008,I46-001
D35-008,D46-011
D35-009,D35-010
D35-010,D35-011
D35-011,D35-012
D35-012,D35-013
D35-015,D35-016
D35-016,I35-079
D35-016,I35-080
D46-001,D46-002
D46-002,D46-003
D46-003,D46-004
D46-004,D46-005
D46-005,D46-006
D46-006,D46-007
D46-007,D46-008
D46-008,D46-009
D46-009,D46-010
D46-010,D46-011
D46-011,D46-012
D46-011,I46-001
D48-001,D48-002
D48-002,D48-003
D48-003,D48-004
D48-003,D56-007
D48-004,D48-005
D48-005,D48-006
D48-006,D48-007
D48-006,I11-005
D48-007,D48-008
D48-007,I58-013
D48-008,D48-009
D48-008,I58-013
D48-009,D48-011
D48-011,D56-007
D52-001,D52-002
D52-002,D52-003
D55-001,D55-002
D55-002,D55-003
D55-003,D55-004
D55-004,D55-005
D55-005,D55-006
D56-001,D56-002
D56-002,D56-003
D56-003,D56-004
D56-004,D56-005
D56-005,D56-006
D56-006,D56-007
I03-001,I03-002
I03-002,I03-003
I03-003,I03-004
I03-004,I03-005
I03-005,I03-006
I03-006,I03-007
I03-007,I03-008
I03-008,I03-009
I03-009,I03-010
I03-010,I03-011
I03-011,I03-012
I03-012,I03-013
I03-013,I03-014
I03-014,I03-015
I03-015,I03-016
I03-016,I03-017
I03-017,I03-018
I03-018,I03-019
I03-019,I03-020
